DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Jul-2023,EQ,"3,385.00","3,393.70","3,331.00","3,396.90","3,354.00","3,355.40","3,352.74","3,575.00","2,926.10",2599831,"8,71,65,57,269.30",127470
27-Jul-2023,EQ,"3,394.95","3,411.65","3,385.05","3,388.30","3,398.00","3,396.90","3,395.09","3,575.00","2,926.10",1701769,"5,77,76,60,069.25",125535
26-Jul-2023,EQ,"3,400.35","3,420.85","3,385.00","3,399.15","3,394.00","3,388.30","3,399.91","3,575.00","2,926.10",1066803,"3,62,70,35,565.20",101692
25-Jul-2023,EQ,"3,397.50","3,406.80","3,380.20","3,394.75","3,400.00","3,399.15","3,396.67","3,575.00","2,926.10",1272980,"4,32,38,95,800.15",134482
24-Jul-2023,EQ,"3,381.00","3,413.45","3,372.10","3,368.30","3,393.00","3,394.75","3,397.83","3,575.00","2,926.10",1680132,"5,70,87,98,867.65",124293
21-Jul-2023,EQ,"3,404.05","3,434.90","3,359.05","3,463.30","3,374.00","3,368.30","3,396.22","3,575.00","2,926.10",3770223,"12,80,45,01,433.35",167464
20-Jul-2023,EQ,"3,453.10","3,478.90","3,436.05","3,470.05","3,461.60","3,463.30","3,453.22","3,575.00","2,926.10",1715404,"5,92,36,59,535.20",99611
19-Jul-2023,EQ,"3,500.00","3,516.85","3,445.65","3,496.85","3,469.00","3,470.05","3,476.09","3,575.00","2,926.10",2405370,"8,36,12,86,032.75",131215
18-Jul-2023,EQ,"3,476.00","3,524.00","3,465.00","3,491.70","3,492.45","3,496.85","3,496.72","3,575.00","2,926.10",2600090,"9,09,17,81,942.50",159053
17-Jul-2023,EQ,"3,510.00","3,549.90","3,477.05","3,514.65","3,488.00","3,491.70","3,512.83","3,575.00","2,926.10",2743228,"9,63,64,96,606.90",221755
14-Jul-2023,EQ,"3,365.00","3,524.85","3,352.00","3,340.55","3,509.00","3,514.65","3,443.41","3,575.00","2,926.10",6306101,"21,71,45,18,276.50",318436
13-Jul-2023,EQ,"3,284.00","3,367.45","3,272.75","3,259.90","3,344.50","3,340.55","3,338.97","3,575.00","2,926.10",4585146,"15,30,96,71,101.45",245158
12-Jul-2023,EQ,"3,280.95","3,289.15","3,250.10","3,272.40","3,260.95","3,259.90","3,266.42","3,575.00","2,926.10",1515240,"4,94,94,16,309.10",120424
11-Jul-2023,EQ,"3,295.00","3,295.00","3,260.80","3,271.95","3,272.00","3,272.40","3,277.42","3,575.00","2,926.10",1110172,"3,63,85,01,368.95",89756
10-Jul-2023,EQ,"3,324.75","3,324.75","3,265.20","3,329.25","3,277.00","3,271.95","3,283.62","3,575.00","2,926.10",1407431,"4,62,14,63,700.65",113059
07-Jul-2023,EQ,"3,302.00","3,356.90","3,302.00","3,322.90","3,321.00","3,329.25","3,334.15","3,575.00","2,926.10",1789326,"5,96,58,81,074.45",130328
06-Jul-2023,EQ,"3,306.55","3,328.45","3,302.00","3,319.95","3,321.30","3,322.90","3,314.41","3,575.00","2,926.10",1848238,"6,12,58,14,363.75",82587
05-Jul-2023,EQ,"3,320.00","3,329.00","3,305.00","3,308.85","3,322.00","3,319.95","3,318.57","3,575.00","2,926.10",1453008,"4,82,19,06,492.95",92949
04-Jul-2023,EQ,"3,290.00","3,315.00","3,277.30","3,272.30","3,307.00","3,308.85","3,298.36","3,575.00","2,926.10",1656681,"5,46,43,37,453.05",100235
